City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
74,celestun,20.8667,-90.4,79.25,82.0,97.0,9.84,MX,1717329739.0
75,yellowknife,62.456,-114.3525,38.41,90.0,75.0,10.36,CA,1717329672.0
76,weining,26.85,104.2333,56.07,93.0,100.0,6.89,CN,1717329743.0
77,bowling green,36.9903,-86.4436,68.14,92.0,100.0,3.44,US,1717329601.0
78,linxia chengguanzhen,35.6003,103.2064,62.78,46.0,100.0,6.62,CN,1717329746.0
79,olonkinbyen,70.9221,-8.7187,32.77,79.0,73.0,3.0,SJ,1717329747.0
80,prince rupert,54.3161,-130.3201,49.69,86.0,100.0,11.5,CA,1717329702.0
81,shamil'kala,42.6858,46.8639,72.03,63.0,68.0,2.46,RU,1717329750.0
82,axim,4.8699,-2.2405,83.7,74.0,85.0,7.52,GH,1717329751.0
83,guerrero negro,27.9769,-114.0611,59.52,83.0,99.0,16.64,MX,1717329752.0
84,nar'yan-mar,67.6713,53.087,32.11,88.0,95.0,5.01,RU,1717329754.0
85,sola,-13.8833,167.55,80.71,82.0,100.0,18.25,VU,1717329755.0
86,urengoy,65.9667,78.3667,33.89,88.0,99.0,16.53,RU,1717329756.0
87,jerome,42.7241,-114.5186,58.68,53.0,75.0,6.91,US,1717329758.0
88,labasa,-16.4167,179.3833,72.64,90.0,47.0,9.19,FJ,1717329759.0
89,petropavlovsk-kamchatsky,53.0452,158.6483,46.99,77.0,0.0,2.24,RU,1717329760.0
90,lerwick,60.1545,-1.1494,53.6,91.0,100.0,22.37,GB,1717329762.0
91,saipan,15.1355,145.701,82.36,78.0,57.0,6.85,MP,1717329763.0
92,taiohae,,,,,,,,
93,avarua,-21.2078,-159.775,71.65,73.0,100.0,4.61,CK,1717329766.0
94,albany,42.6001,-73.9662,64.74,76.0,100.0,1.01,US,1717329322.0
95,ancud,-41.8697,-73.8203,40.15,94.0,9.0,6.62,CL,1717329473.0
96,holualoa,19.6228,-155.9522,75.04,82.0,100.0,3.44,US,1717329771.0
97,sur,22.5667,59.5289,98.8,31.0,0.0,6.42,OM,1717329773.0
98,vila velha,-20.3297,-40.2925,66.15,94.0,40.0,0.0,BR,1717329632.0
99,iqaluit,63.7506,-68.5145,28.13,92.0,100.0,6.91,CA,1717329483.0
100,alaghsas,17.0187,8.0168,107.49,15.0,3.0,4.61,NE,1717329777.0
101,thompson,55.7435,-97.8558,37.56,100.0,75.0,0.0,CA,1717329697.0
102,stanley,54.868,-1.6985,65.79,56.0,20.0,4.61,GB,1717329780.0
103,iwanai,42.9744,140.5089,49.48,94.0,80.0,7.38,JP,1717329657.0
104,codrington,-38.2667,141.9667,52.57,65.0,49.0,6.78,AU,1717329783.0
105,invercargill,-46.4,168.35,49.01,86.0,99.0,20.0,NZ,1717329784.0
106,yakeshi,49.2833,120.7333,60.91,62.0,84.0,7.29,CN,1717329785.0
107,ust-nera,64.5667,143.2,54.61,36.0,90.0,3.71,RU,1717329787.0
108,remire-montjoly,4.9167,-52.2667,78.84,100.0,75.0,2.3,GF,1717329788.0
109,aasiaat,68.7098,-52.8699,30.99,72.0,100.0,6.64,GL,1717329789.0
110,mejit,10.2753,170.8646,82.6,82.0,11.0,16.91,MH,1717329791.0
